.text @ 0x2c80, size 0x28738

=== SVC (syscall) instructions found: 0 ===

=== Top BL/B targets (called functions) ===
   123x  0x000057f8  (callers: [22460, 22476, 22944, 23096, 23244]...)
    27x  0x00007874  (callers: [30720, 30732, 31124, 31228, 31700]...)
    17x  0x00007804  (callers: [30832, 31532, 32220, 32992, 33584]...)
    16x  0x000042d4  (callers: [16984, 17180, 17268, 17368, 17476]...)
    13x  0x00003d98  (callers: [15748, 15820, 15868, 15968, 16008]...)
    12x  0x00004e74  (callers: [20068, 20184, 20260, 20388, 20500]...)
    12x  0x0000b6b4  (callers: [46756, 46844, 46896, 46936, 47024]...)
    10x  0x0000ffe0  (callers: [18156, 18188, 20168, 20460, 21640]...)
    10x  0x00010010  (callers: [20368, 22104, 30200, 37960, 38376]...)
    10x  0x00005240  (callers: [21016, 21144, 21212, 21412, 21440]...)
     9x  0x0000368c  (callers: [13944, 14112, 14284, 14328, 14392]...)
     9x  0x00004a60  (callers: [19028, 19188, 19352, 19368, 19384]...)
     8x  0x00002ef8  (callers: [11980, 12312, 12428, 12448, 12464]...)
     8x  0x0000872c  (callers: [33860, 34700, 34892, 34948, 35024]...)
     8x  0x0000a55c  (callers: [42308, 42420, 42612, 42660, 42676]...)
     7x  0x0000bb80  (callers: [18496, 19428, 21660, 27884, 29148]...)
     7x  0x0000b06c  (callers: [45096, 45260, 45300, 45332, 45352]...)
     7x  0x0000b2e0  (callers: [45724, 45868, 45960, 46024, 46040]...)
     6x  0x00004814  (callers: [18428, 18524, 18612, 18636, 18724]...)
     5x  0x00002d70  (callers: [11592, 11704, 11744, 11760, 11776])
     5x  0x0000bd04  (callers: [11620, 12012, 12220, 12496, 13820])
     5x  0x000055b0  (callers: [21924, 22040, 22092, 22116, 22196])
     5x  0x00007654  (callers: [23384, 30408, 30468, 30560, 30572])
     5x  0x00009644  (callers: [24588, 38580, 38640, 38732, 38744])
     5x  0x00009f98  (callers: [27412, 40968, 41020, 41108, 41120])
     5x  0x0000a7dc  (callers: [29480, 43084, 43144, 43248, 43324])
     5x  0x00008f20  (callers: [32472, 33268, 33932, 35304, 36360])
     5x  0x0000ab84  (callers: [43444, 44020, 44080, 44184, 44264])
     4x  0x00003298  (callers: [12936, 12996, 13072, 13120])
     4x  0x00010ff8  (callers: [21040, 21312, 37380, 42768])
     4x  0x000057c0  (callers: [22516, 25960, 28152, 28456])
     4x  0x0000ae98  (callers: [44688, 44736, 44800, 44812])
     4x  0x0000b4e0  (callers: [46280, 46424, 46444, 46520])
     3x  0x0001336c  (callers: [11408, 11444, 11468])
     3x  0x00003c8c  (callers: [13384, 16748, 16764])
     3x  0x0000ad64  (callers: [22276, 25752, 26020])
     3x  0x00007168  (callers: [26740, 28872, 29096])
     3x  0x0000a360  (callers: [26948, 38756, 39132])
     3x  0x00004968  (callers: [33396, 35916, 38224])
     3x  0x0000bd34  (callers: [37940, 40384, 41848])
